,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap,symbol
0,0.57163,0.0,1.843,31.5963,2013-05-28,31.9433,"May 28, 13",31.3649,31.3649,4793962,4793962,31.7376,A
1,-0.258593,-0.00818450261581254,-0.818,31.3377,2013-05-29,31.5418,"May 29, 13",30.8953,31.29,3621114,3621114,31.3,A
2,0.0,-0.00818450261581254,0.0,31.3377,2013-05-30,32.0182,"May 30, 13",31.3104,31.4465,3090824,3090824,31.64,A
3,-0.408309,-0.021106901757484208,-1.303,30.9294,2013-05-31,31.6235,"May 31, 13",30.9157,31.2424,4609273,4609273,31.247,A
4,0.04083,-0.019815611321578823,0.132,30.9702,2013-06-03,31.1948,"Jun 3, 13",30.6503,31.0655,3677473,3677473,30.8242,A
5,-0.061246,-0.02175571190297599,-0.198,30.9089,2013-06-04,31.6099,"Jun 4, 13",30.8817,31.4227,3364296,3364296,31.2109,A
6,-0.605656,-0.040922513079063035,-1.959,30.3033,2013-06-05,30.8817,"Jun 5, 13",30.2829,30.8409,2495073,2495073,30.5046,A
7,0.326645,-0.03058585973674133,1.078,30.6299,2013-06-06,30.6299,"Jun 6, 13",30.0855,30.2829,3781151,3781151,30.3318,A
8,0.095269,-0.02756968379208953,0.311,30.7252,2013-06-07,31.2492,"Jun 7, 13",30.5823,30.732,2781171,2781171,30.8214,A
9,-0.285811,-0.03661504669850585,-0.93,30.4394,2013-06-10,30.8613,"Jun 10, 13",30.2727,30.8613,2730800,2730800,30.429,A
10,-0.224573,-0.04372347395106386,-0.738,30.2148,2013-06-11,30.3713,"Jun 11, 13",29.9426,30.0923,3914328,3914328,30.1897,A
11,-0.326645,-0.05406012729338556,-1.081,29.8882,2013-06-12,30.5061,"Jun 12, 13",29.8031,30.4734,2730633,2730633,29.9868,A
12,0.387894,-0.0417833733696667,1.298,30.2761,2013-06-13,30.3237,"Jun 13, 13",29.7112,29.8541,2594941,2594941,30.156,A
13,-0.333452,-0.05233840671217835,-1.101,29.9426,2013-06-14,30.3305,"Jun 14, 13",29.8405,30.174,1677669,1677669,30.0089,A
14,0.258593,-0.044153904096365694,0.864,30.2012,2013-06-17,30.534,"Jun 17, 13",30.0685,30.2012,2000122,2000122,30.2933,A
15,0.285817,-0.035108541189949494,0.946,30.487,2013-06-18,30.4938,"Jun 18, 13",30.1264,30.2012,2522376,2522376,30.3257,A
16,-0.871058,-0.06267506005450005,-2.857,29.616,2013-06-19,30.5412,"Jun 19, 13",29.6024,30.4462,5805826,5805826,30.0066,A
17,-0.816618,-0.08852302326538236,-2.757,28.7993,2013-06-20,29.337,"Jun 20, 13",28.4795,29.337,6307980,6307980,28.8074,A
18,0.449141,-0.07430616876026622,1.56,29.2485,2013-06-21,29.4186,"Jun 21, 13",28.8334,28.9899,3656145,3656145,29.1465,A
19,-0.375505,-0.08619047166915109,-1.284,28.873,2013-06-24,29.1732,"Jun 24, 13",28.7092,28.9617,2871453,2871453,28.9137,A
20,0.116011,-0.08251915572392966,0.402,28.989,2013-06-25,29.221,"Jun 25, 13",28.6683,28.6683,2939595,2939595,28.9769,A
21,-0.095537,-0.08554166152365941,-0.33,28.8935,2013-06-26,29.5418,"Jun 26, 13",28.8525,29.4121,3693707,3693707,29.0398,A
22,0.504986,-0.06956194237932925,1.748,29.3984,2013-06-27,29.5418,"Jun 27, 13",29.0163,29.0436,3447018,3447018,29.3664,A
23,-0.218373,-0.07647097919693129,-0.743,29.1801,2013-06-28,29.552,"Jun 28, 13",29.1596,29.3439,5556673,5556673,29.2686,A
24,0.566404,-0.058544829616125886,1.941,29.7465,2013-07-01,29.8693,"Jul 1, 13",29.2824,29.378,4283821,4283821,29.6885,A
25,-0.341206,-0.0693435623791393,-1.147,29.4053,2013-07-02,29.9512,"Jul 2, 13",29.3097,29.6851,2986405,2986405,29.6008,A
26,0.054593,-0.06761551194285402,0.186,29.4599,2013-07-03,29.6578,"Jul 3, 13",29.1528,29.221,1940832,1940832,29.4328,A
27,0.723359,-0.04472359105338283,2.455,30.1832,2013-07-05,30.2276,"Jul 5, 13",29.6168,29.6578,2100873,2100873,30.0059,A
28,0.088715,-0.04191630032630405,0.294,30.2719,2013-07-08,30.4835,"Jul 8, 13",30.1082,30.2856,2572391,2572391,30.2969,A
29,0.163778,-0.03673214901744821,0.541,30.4357,2013-07-09,30.6814,"Jul 9, 13",30.2583,30.4357,3476214,3476214,30.4525,A
30,0.484516,-0.021398075091070733,1.592,30.9202,2013-07-10,31.1522,"Jul 10, 13",30.3743,30.463,3277684,3277684,30.8774,A
31,0.279788,-0.012542607836993576,0.905,31.2,2013-07-11,31.3774,"Jul 11, 13",31.0021,31.1795,2131803,2131803,31.1477,A
32,0.020475,-0.011893797691501794,0.066,31.2205,2013-07-12,31.357,"Jul 12, 13",31.1071,31.241,1978819,1978819,31.2088,A
33,0.245669,-0.004117570728218139,0.787,31.4662,2013-07-15,31.5788,"Jul 15, 13",31.1727,31.1864,2433181,2433181,31.4337,A
34,-0.136482,-0.008437696818931343,-0.434,31.3297,2013-07-16,31.7118,"Jul 16, 13",31.2376,31.4525,2026749,2026749,31.4254,A
35,-0.204726,-0.014916303491231549,-0.653,31.125,2013-07-17,31.4593,"Jul 17, 13",31.0977,31.357,1196543,1196543,31.2007,A
36,0.197902,-0.008652911891582203,0.636,31.3229,2013-07-18,31.4252,"Jul 18, 13",31.084,31.1591,1999719,1999719,31.2485,A
37,0.204723,-0.002174305219281997,0.654,31.5276,2013-07-19,31.5788,"Jul 19, 13",31.1795,31.2751,1179308,1179308,31.4524,A
38,0.409448,0.010782908125318527,1.299,31.937,2013-07-22,31.9711,"Jul 22, 13",31.4593,31.5481,1836733,1836733,31.82,A
39,-0.225196,0.0036554913075265406,-0.705,31.7118,2013-07-23,31.9643,"Jul 23, 13",31.6026,31.6026,2934199,2934199,31.8013,A
40,0.197902,0.009918882907175887,0.624,31.9097,2013-07-24,31.9439,"Jul 24, 13",31.7289,31.8483,1831121,1831121,31.8544,A
41,-0.068243,0.0077604023255887725,-0.214,31.8415,2013-07-25,32.0053,"Jul 25, 13",31.6572,31.8142,1420233,1420233,31.7892,A
42,-0.723358,-0.015134683491421498,-2.272,31.1181,2013-07-26,31.7732,"Jul 26, 13",31.0036,31.6026,3694988,3694988,31.231,A
43,-0.177431,-0.020749264945579063,-0.57,30.9407,2013-07-29,31.1864,"Jul 29, 13",30.695,31.1113,1962142,1962142,30.9312,A
44,-0.334381,-0.031332782635941504,-1.081,30.6063,2013-07-30,31.1181,"Jul 30, 13",30.5858,31.084,2791858,2791858,30.7588,A
45,-0.081893,-0.033924858290369425,-0.268,30.5244,2013-07-31,30.9134,"Jul 31, 13",30.4767,30.736,2807402,2807402,30.6933,A
46,0.893967,-0.00563040609185256,2.929,31.4184,2013-08-01,31.5276,"Aug 1, 13",30.9271,31.0567,2745041,2745041,31.2989,A
47,0.23202,0.0017122257985903986,0.738,31.6504,2013-08-02,31.7391,"Aug 2, 13",31.3843,31.432,2387817,2387817,31.6315,A
48,-0.300262,-0.007788886673439562,-0.949,31.3502,2013-08-05,31.6641,"Aug 5, 13",31.2546,31.5685,1875418,1875418,31.4129,A
49,0.095537,-0.00476638087370992,0.305,31.4457,2013-08-06,31.5378,"Aug 6, 13",31.125,31.3433,2280909,2280909,31.3635,A
50,0.136484,-0.00044625478299671525,0.434,31.5822,2013-08-07,31.705,"Aug 7, 13",31.1318,31.3092,1702122,1702122,31.576,A
51,-0.293438,-0.009735317109914793,-0.929,31.2887,2013-08-08,31.7664,"Aug 8, 13",31.1454,31.7323,1702407,1702407,31.3184,A
52,0.252492,-0.0017438750739801649,0.807,31.5412,2013-08-09,31.705,"Aug 9, 13",31.2614,31.2887,1958449,1958449,31.5542,A
53,0.156956,0.003225061162224708,0.498,31.6982,2013-08-12,31.7391,"Aug 12, 13",31.2,31.316,1247241,1247241,31.6224,A
54,0.320736,0.01337498377974645,1.012,32.0189,2013-08-13,32.0599,"Aug 13, 13",31.5549,31.6982,2078213,2078213,31.9287,A
55,-0.279788,0.004519516525669181,-0.874,31.7391,2013-08-14,32.0735,"Aug 14, 13",31.6436,31.9166,1989871,1989871,31.814,A
56,0.307084,0.014239008997888979,0.968,32.0462,2013-08-15,32.8719,"Aug 15, 13",31.9711,32.4761,6708341,6708341,32.4413,A
57,-0.116011,0.010567693052667556,-0.362,31.9302,2013-08-16,32.2236,"Aug 16, 13",31.746,31.9439,3624694,3624694,32.0164,A
58,-0.238846,0.0030098460895738484,-0.748,31.6914,2013-08-19,32.0326,"Aug 19, 13",31.6777,31.821,1727559,1727559,31.7786,A
59,0.402625,0.0157518443615234,1.27,32.094,2013-08-20,32.2577,"Aug 20, 13",31.5071,31.6845,2294328,2294328,32.0556,A
60,-0.095539,0.012726173634254668,-0.298,31.9984,2013-08-21,32.2373,"Aug 21, 13",31.8278,32.0257,1949054,1949054,32.0681,A
61,0.737012,0.03605485452410575,2.303,32.7355,2013-08-22,32.9811,"Aug 22, 13",31.937,31.9984,3147986,3147986,32.541,A
62,-0.197905,0.02979146292445629,-0.605,32.5376,2013-08-23,32.7559,"Aug 23, 13",32.442,32.7286,1702511,1702511,32.5625,A
63,-0.054589,0.028063412488171006,-0.168,32.483,2013-08-26,32.8958,"Aug 26, 13",32.3397,32.5103,2012701,2012701,32.6343,A
64,-0.429923,0.014454224070539838,-1.324,32.053,2013-08-27,32.3397,"Aug 27, 13",31.937,32.1281,2138064,2138064,32.1234,A
65,-0.156953,0.009488452761874055,-0.49,31.8961,2013-08-28,32.053,"Aug 28, 13",31.7391,31.9916,1590425,1590425,31.9117,A
66,0.040941,0.010782908125318527,0.128,31.937,2013-08-29,32.094,"Aug 29, 13",31.6777,31.821,1900662,1900662,31.9988,A
67,-0.109187,0.0073268072527479635,-0.342,31.8278,2013-08-30,32.0599,"Aug 30, 13",31.6436,31.9984,1358573,1358573,31.8268,A
68,0.197901,0.01359019885239731,0.622,32.0257,2013-09-03,32.4215,"Sep 3, 13",31.8108,32.1008,1565632,1565632,32.0483,A
69,0.641472,0.03389320901497966,2.003,32.6672,2013-09-04,32.7286,"Sep 4, 13",31.8961,32.0257,2522043,2522043,32.513,A
70,-0.129662,0.02979146292445629,-0.397,32.5376,2013-09-05,32.8173,"Sep 5, 13",32.4693,32.6331,1313188,1313188,32.6245,A
71,-0.170602,0.02438893161541072,-0.524,32.3669,2013-09-06,32.6126,"Sep 6, 13",32.1622,32.558,1332857,1332857,32.4587,A
72,0.354856,0.03562125945126494,1.096,32.7218,2013-09-09,32.789,"Sep 9, 13",32.2714,32.4761,1668867,1668867,32.6483,A
73,0.409453,0.04858163772340444,1.251,33.1313,2013-09-10,33.2131,"Sep 10, 13",32.7832,32.7832,1821283,1821283,33.0721,A
74,0.279787,0.05743394004994262,0.844,33.411,2013-09-11,33.452,"Sep 11, 13",32.9061,33.1654,1783424,1783424,33.3008,A
75,-0.232023,0.050091308159499776,-0.694,33.179,2013-09-12,33.3974,"Sep 12, 13",33.0903,33.3701,1468485,1468485,33.2045,A
76,-0.109185,0.04663520728692921,-0.329,33.0698,2013-09-13,33.179,"Sep 13, 13",32.9129,33.1654,2141143,2141143,33.0494,A
77,0.191077,0.052683383813927585,0.578,33.2609,2013-09-16,33.5612,"Sep 16, 13",33.1517,33.4793,1861513,1861513,33.3065,A
78,0.088715,0.05549067454100648,0.267,33.3496,2013-09-17,33.6567,"Sep 17, 13",33.179,33.2541,1578387,1578387,33.4071,A
79,0.307087,0.06521016701322628,0.921,33.6567,2013-09-18,33.6772,"Sep 18, 13",32.9538,33.2814,2044234,2044234,33.4218,A
80,1.1328,0.10106246617483684,3.366,34.7895,2013-09-19,36.4887,"Sep 19, 13",34.6319,36.1134,18146408,18146408,35.5028,A
81,0.798425,0.12633124764608508,2.295,35.5879,2013-09-20,35.7517,"Sep 20, 13",34.7895,34.8271,10692052,10692052,35.4661,A
82,-0.327558,0.11596610995591249,-0.92,35.2604,2013-09-23,35.6494,"Sep 23, 13",35.0625,35.4242,2716907,2716907,35.2941,A
83,-0.047769,0.11445327459227829,-0.135,35.2126,2013-09-24,35.431,"Sep 24, 13",34.9397,35.2194,2185721,2185721,35.2241,A
84,0.156955,0.11942221082848305,0.446,35.3696,2013-09-25,35.5743,"Sep 25, 13",35.1034,35.2058,2865074,2865074,35.3673,A
85,0.17743,0.1250367922826406,0.502,35.547,2013-09-26,35.5675,"Sep 26, 13",35.1171,35.4583,2680307,2680307,35.3695,A
86,-0.232549,0.117678335754503,-0.654,35.3145,2013-09-27,35.6359,"Sep 27, 13",35.1571,35.4581,2110103,2110103,35.4205,A
87,-0.259914,0.10944952415314445,-0.736,35.0545,2013-09-30,35.3042,"Sep 30, 13",34.7125,34.8972,2650001,2650001,35.198,A
88,0.444592,0.12352079199146733,1.268,35.4991,2013-10-01,35.6223,"Oct 1, 13",34.6783,34.6783,2997047,2997047,35.4017,A
89,-0.225715,0.11637755053598058,-0.636,35.2734,2013-10-02,35.3692,"Oct 2, 13",34.9861,35.2871,2020794,2020794,35.315,A
